5.2241,5.0829,4.8554,-0.0428,-0.1960,-0.0301,9.7444,0.5363,0.0551,-0.1845,-0.2491,0.0253,point_left_1
5.5474,4.8219,4.6711,-0.0041,-0.1575,-0.1156,9.9742,0.1724,0.3759,-0.1585,-0.1062,-0.1085,point_left_1
5.5522,4.7429,5.4803,-0.0089,-0.0670,-0.2697,10.4794,0.4764,0.3112,-0.2133,-0.1081,-0.2475,point_left_1
5.9376,5.1930,5.7988,0.1721,-0.0578,-0.3770,11.5305,0.6800,0.0455,-0.0410,-0.2394,-0.4874,point_left_1
7.4651,4.6950,5.1523,0.3921,-0.0494,-0.8649,13.2758,-0.0359,-0.3400,-0.1415,-0.3913,-1.0848,point_left_1
7.4627,5.2792,3.6488,0.5373,0.8732,-1.6863,13.6350,0.3304,0.3160,0.0549,0.4839,-2.1558,point_left_1
5.7916,5.2936,4.9560,0.6332,1.7289,-2.3021,12.7012,1.0367,-1.1157,-0.0185,1.4713,-2.9764,point_left_1
5.3271,4.5274,4.9033,0.7409,1.1345,-2.9913,12.3469,1.4605,-2.5594,-0.8107,0.4430,-4.1366,point_left_1
2.7701,5.2098,3.8140,0.5537,1.5496,-3.2518,7.2520,1.3719,0.6871,-0.8731,1.3324,-4.2106,point_left_1
0.9098,4.8578,3.2537,0.5772,1.5024,-3.6262,7.8458,2.8252,-1.4605,-1.4534,1.2704,-4.3657,point_left_1
-0.8906,5.4396,2.9305,0.0561,1.0693,-3.9297,3.9145,2.7054,1.6807,-1.6891,1.1628,-4.3657,point_left_1
-3.1316,4.7453,4.2090,0.2603,1.8033,-3.7190,2.6767,4.0223,2.1476,-1.6341,2.1650,-3.4334,point_left_1
-3.5506,4.7956,2.8635,-0.1895,0.7216,-3.5550,4.3167,4.4269,2.6528,-1.8274,0.7120,-3.6596,point_left_1
-5.4588,5.6455,3.0167,-0.3809,1.6028,-3.0382,-2.4014,4.8411,4.0989,-1.5938,2.2152,-2.7917,point_left_1
-7.4771,5.5282,4.1875,-0.3645,1.4977,-2.5544,-0.6177,5.9041,6.0956,-1.3560,1.7965,-2.0841,point_left_1
-8.0900,6.2369,3.6559,-0.3580,0.3068,-1.6947,-2.2841,6.5170,6.5170,-0.9741,0.5860,-1.6386,point_left_1
-7.6686,5.8849,4.1659,-0.3088,0.2695,-1.0070,-0.9385,6.8929,6.4572,-0.8723,0.4359,-0.6426,point_left_1
-7.2544,5.5689,4.0630,-0.2282,-0.0969,-0.4615,-0.4717,6.7229,6.4476,-0.4149,-0.0582,-0.3134,point_left_1
-7.2042,5.0350,4.7692,-0.2578,0.3824,-0.2807,0.1341,6.7445,7.5369,-0.1462,0.5243,-0.2579,point_left_1
-8.0685,5.3175,4.4388,-0.0032,0.3372,-0.0606,-1.3312,6.9073,7.0437,-0.0176,0.3559,-0.3002,point_left_1
-7.6878,5.3271,3.6105,-0.0917,-0.0224,0.1852,-1.2139,6.8690,6.4763,0.0200,-0.1131,0.0493,point_left_1
-6.8187,4.7836,4.1444,-0.0831,0.0268,0.3182,-0.3328,6.7062,5.8562,0.1366,-0.0084,0.1844,point_left_1
-6.5122,4.9033,3.5075,0.0305,-0.1021,0.1877,-0.2705,6.4212,6.0430,0.1358,-0.1761,0.0393,point_left_1
-6.7325,5.0254,3.4309,0.0798,0.0191,0.2591,-0.5459,6.6200,5.6431,0.2010,-0.0278,0.1278,point_left_1
-6.7852,4.9967,3.9480,0.0929,-0.0735,0.3028,-0.3041,6.4045,6.3734,0.2931,-0.1514,0.2361,point_left_1
-8.2552,5.3822,4.4436,0.1147,-0.3822,1.0239,-1.5419,6.7421,7.1443,0.6611,-0.5814,1.0046,point_left_1
-8.7293,6.1004,3.6440,0.2955,-0.7440,2.0259,-2.7725,6.7469,5.9304,1.0385,-0.9606,1.8077,point_left_1
