-5.0206,3.2681,5.5689,-0.0496,-0.0256,-0.0389,1.0989,4.9584,6.1914,-0.0719,0.0240,-0.0489,point_left
-4.8411,3.5075,4.6950,-0.1071,-0.0233,-0.0993,0.9936,5.1140,5.9927,-0.1569,0.0053,-0.0690,point_left
-4.9752,3.5003,5.1284,-0.2076,0.0356,-0.1312,0.9649,5.2313,5.9041,-0.2399,0.1054,-0.0208,point_left
-5.3295,3.3974,5.6024,-0.2435,0.0164,-0.1082,1.2330,5.0877,6.5984,-0.2378,0.0438,0.0240,point_left
-5.5545,3.0789,6.2560,-0.2409,0.0353,-0.1096,1.1277,4.7501,7.4053,-0.2166,0.0861,0.0065,point_left
-5.6886,3.2010,5.9376,-0.1547,0.0520,0.0229,0.7733,4.9680,6.7995,-0.1006,0.0738,0.0488,point_left
-5.4277,3.1819,5.3319,-0.1708,-0.0059,0.0341,0.6273,5.0039,6.1076,-0.0846,0.0290,0.0827,point_left
-5.4277,2.9616,4.9680,-0.3251,0.0075,-0.0610,0.5890,4.7740,6.5577,-0.2286,0.0943,0.1062,point_left
-5.6623,2.8491,5.8083,-0.1915,0.0851,-0.0081,0.7733,4.6519,7.0342,-0.1358,0.1214,0.0366,point_left
-5.4253,3.0981,5.2265,-0.2149,0.0362,0.0023,0.6225,4.8674,6.5218,-0.1198,0.0975,0.0951,point_left
-5.4731,3.0119,5.8873,-0.2133,0.0417,-0.0212,0.8859,4.7884,7.1012,-0.1442,0.1495,0.0679,point_left
-5.3606,3.1005,5.9687,-0.1557,-0.0087,0.0008,0.9601,4.8794,6.9743,-0.0841,0.0368,0.0420,point_left
-5.2672,3.0765,5.7557,-0.1304,0.0004,-0.0139,1.1492,4.9560,6.7038,-0.1031,0.0270,0.0277,point_left
-5.4037,3.2537,5.5665,-0.0953,-0.0017,-0.0200,0.9697,4.9799,6.8402,-0.0565,-0.0037,0.0032,point_left
-5.4348,3.1556,5.7485,-0.0677,0.0011,-0.0096,1.0367,4.9225,6.7588,-0.0493,0.0342,-0.0097,point_left
-5.3343,3.1627,5.7245,-0.0548,-0.0157,-0.0029,1.0367,4.9488,6.6846,-0.0248,-0.0028,-0.0131,point_left
-5.4636,3.0143,5.9161,0.0071,0.0404,0.0044,0.9888,4.8794,6.6487,0.0153,0.0449,-0.0457,point_left
-5.4396,3.1077,5.4372,0.0053,-0.0381,0.0147,0.7063,4.8890,6.5003,0.0252,-0.0230,-0.0137,point_left
-5.2577,3.0837,5.0996,-0.0433,0.0039,0.0265,0.8284,4.8842,6.3925,0.0188,0.0477,-0.0019,point_left
-5.3870,3.1340,5.3893,-0.0504,-0.0397,0.0222,0.7685,4.8291,6.5003,0.0127,-0.0019,0.0151,point_left
-5.3774,3.0622,5.7604,-0.0837,0.0270,0.0349,1.0439,4.7980,7.0150,0.0093,0.0468,0.0256,point_left
-5.3846,2.9592,5.9999,-0.0019,-0.0163,0.0369,1.0798,4.8004,6.9384,0.0373,-0.0321,-0.0052,point_left
-5.6575,3.0861,6.2345,0.0075,0.0184,0.0690,1.1181,4.7908,7.6016,0.1416,0.0304,0.0230,point_left
-5.5091,3.1388,6.0861,0.1380,-0.0183,0.1668,0.0335,4.1252,9.6247,0.6426,0.0386,0.1772,point_left
-5.7868,3.2441,6.1986,0.3785,-0.1328,0.3818,0.3065,5.3151,6.4117,1.1999,0.0457,0.8893,point_left
-4.9680,3.3088,5.4300,0.3075,-0.2530,0.1905,2.1237,5.9376,5.0206,0.6659,-0.3513,0.2970,point_left
-5.1834,3.5985,5.3032,0.2549,-0.0520,0.1876,1.4964,5.6743,5.7269,0.6226,0.0729,0.1315,point_left
-5.3415,3.4117,5.7700,0.1949,-0.0354,0.1577,1.7095,6.0573,5.2385,0.4557,-0.1356,-0.0258,point_left
