1.6376,2.3774,8.5186,0.2553,-1.2397,-0.4129,-4.9847,-1.8938,7.4699,0.6889,-1.1201,-0.4138
2.6671,2.7629,7.1443,0.3752,-0.6550,-0.4606,-3.7206,-0.9553,6.6559,0.7478,-0.8115,-0.4938
3.1987,2.5881,7.2975,-0.0667,-0.6460,-0.6165,-4.2952,-1.4772,7.5322,0.4902,-0.3697,-0.4940
2.3798,2.7270,7.8027,0.0458,-0.7926,-0.4786,-4.9512,-1.2474,6.2776,0.5734,-0.2455,-0.4572
2.6240,2.4780,8.0469,-0.1952,-1.2588,-0.6055,-3.2154,-0.9768,7.1060,0.6149,-1.2887,-0.8664
1.7957,2.4612,5.8419,-0.2597,-1.7804,-0.6021,-1.7789,-0.6632,7.3741,0.8873,-1.6192,-1.5255
1.4485,2.3320,7.2760,-1.0437,-1.6806,-0.1989,-7.3191,-3.2513,7.6638,1.1799,-0.7610,-2.4231
4.4125,1.9441,10.9894,-1.1847,-2.4337,-0.3055,-5.7916,-2.4062,7.9631,1.0291,-1.1139,-0.8067
5.9137,1.2115,9.7468,0.1915,-1.9249,-0.7352,-5.4324,-3.6679,10.8290,1.0624,-3.0902,-0.5745
4.3981,1.3934,8.9567,1.1856,-1.6286,-1.2649,-4.3431,-2.8419,9.7444,1.7745,-0.5594,0.2505
3.9840,1.0439,6.4212,1.5909,-1.6752,-1.0178,-0.4118,-1.2641,7.8075,2.2451,-1.5733,-0.3764
5.1691,0.8643,5.0661,1.3358,-1.9011,-1.3448,-0.1532,-1.1540,7.4795,2.7499,-0.7378,-0.8025
5.9687,0.9936,4.9201,1.0204,-2.2815,-1.8566,0.0694,-0.3448,6.3542,2.8417,-1.1390,-1.2573
4.8315,1.6664,1.6712,0.9623,-2.3752,-2.6349,3.0071,1.0127,5.2289,2.8633,-1.7836,-2.3602
4.2353,2.3080,3.8858,-0.3215,-2.6786,-2.7620,0.2610,0.8787,5.5115,2.5722,-1.0447,-3.1496
3.9073,2.9090,1.5874,-0.7153,-2.5311,-2.2390,1.3647,2.3870,3.0813,1.9598,-1.8145,-3.4781
4.5370,3.6033,2.3152,-1.8466,-2.4555,-2.0218,2.0566,3.0454,1.8555,0.9951,-1.5015,-4.3657
3.9049,4.0055,-1.0511,-2.4299,-2.1976,-2.3983,1.3360,2.3703,1.6735,-0.2868,-1.5451,-4.3657
1.9106,3.3375,0.1125,-3.8244,-1.1703,-1.8554,0.0622,1.1013,3.0239,-1.5938,-1.5756,-4.3657
1.8052,3.4836,2.0686,-4.3657,-0.1516,-1.0940,0.0192,-0.2514,1.7214,-2.3579,0.1865,-4.3657
1.2689,2.7677,2.8802,-4.3657,0.8451,-0.0851,-5.1164,-3.0694,1.3192,-4.3657,0.1812,-3.9939
