-4.9344,7.6064,0.9146,0.4128,0.1668,-0.0534,0.5387,6.4739,5.6072,0.4357,-0.2534,0.0191
-5.1739,7.7381,1.1229,0.4843,0.1314,-0.0568,0.3472,6.6272,5.6336,0.4439,-0.2880,-0.0368
-5.1068,7.6088,0.3855,0.5131,0.0998,-0.0353,0.5746,6.8307,5.2792,0.4253,-0.4422,-0.0332
-5.1020,7.6591,0.2298,0.3970,0.0967,-0.0497,0.6225,6.8498,5.0996,0.3748,-0.2690,-0.0572
-5.0661,7.8075,0.2179,0.4924,0.0977,-0.0392,0.7254,6.9432,5.1619,0.3896,-0.3126,-0.0741
-5.1092,7.8386,-0.4549,0.6263,-0.0253,-0.0376,0.9673,7.2640,4.7740,0.4838,-0.5742,-0.0918
-5.3271,7.9009,-0.1987,0.6364,0.0384,-0.0915,0.7614,7.3550,4.7884,0.5181,-0.3198,-0.1507
-5.3798,7.7428,-1.2115,0.6451,0.0188,-0.0537,0.8380,7.6399,4.3766,0.4914,-0.5977,-0.1443
-4.9488,7.7189,-1.0989,0.3328,-0.0376,0.0123,1.1181,7.7644,3.9959,0.5220,-0.2587,-0.1378
-5.4755,7.8602,-1.1995,0.5168,0.2427,-0.1647,0.9481,8.0206,3.9385,0.5644,-0.2128,-0.0802
-5.4348,8.0014,-1.5850,0.6963,0.0654,-0.0425,1.0894,8.1235,3.6847,0.5702,-0.5315,-0.1095
-5.4971,7.7069,-2.9377,0.6763,-0.0589,-0.1829,1.2977,8.5114,3.0071,0.5221,-0.4377,-0.3206
-5.4827,7.8865,-2.2314,0.5045,0.0827,-0.2144,0.9673,8.4228,3.0957,0.4502,-0.1524,-0.2753
-5.4324,7.4795,-2.5642,0.8776,-0.1268,-0.1123,1.2689,8.6957,1.9082,0.5740,-0.6094,-0.3353
-5.7269,7.1635,-3.3327,0.4413,-0.0843,-0.1376,0.9649,8.4851,2.1811,0.2678,-0.2546,-0.2619
-5.6934,7.5441,-2.8108,0.6229,-0.1326,-0.0581,0.7111,8.5497,2.5857,0.4090,-0.4962,-0.2248
-5.4085,7.1204,-4.1156,0.9305,-0.5136,0.0252,1.4126,8.9280,1.7549,0.2947,-0.9353,-0.3808
-5.6168,7.1898,-3.7733,0.2526,0.0236,-0.1416,1.1420,8.8298,2.2721,0.2221,0.0304,-0.1560
-6.0621,7.5489,-3.4333,0.3235,-0.0979,-0.1120,0.8859,9.0860,2.0375,0.1720,-0.4385,-0.2057
-5.4660,7.2760,-4.3407,0.6286,-0.3019,-0.1002,1.4413,9.1889,1.7262,0.2478,-0.5099,-0.3417
-6.1124,7.1012,-3.9241,0.0124,0.1069,-0.3031,0.7398,9.2057,1.5107,0.2743,0.5604,-0.2132
-5.8466,6.9983,-4.4388,0.3034,-0.0834,-0.1804,1.1396,9.1650,1.4748,0.3176,-0.2337,-0.1338
-6.0406,6.8163,-4.0893,-0.1283,0.3148,-0.4150,0.7733,9.1937,1.2474,0.2866,0.5000,-0.1053
-6.1172,6.4907,-4.6304,-0.0021,0.0669,-0.3761,0.8978,9.4212,0.4477,0.2409,-0.2037,-0.1396
-6.3231,6.3758,-4.5250,-0.1452,0.0910,-0.4199,0.5052,9.2296,0.6345,0.1787,0.5592,-0.2196
-6.5481,6.2201,-4.4053,-0.1525,-0.0360,-0.2992,0.1197,9.1985,0.6776,-0.0402,0.0228,-0.2458
-6.3758,6.3207,-4.1731,-0.1564,0.0667,-0.3186,0.2059,9.2967,0.7207,0.0771,0.2884,-0.1735
-6.6607,6.1507,-4.4197,-0.2537,0.0598,-0.2879,0.1460,9.4164,0.7183,0.0143,0.2695,-0.1691
-6.8833,6.1794,-4.2234,-0.2286,0.0729,-0.2915,-0.2658,9.3733,0.8356,0.0032,0.2975,-0.1649
-6.9815,6.1627,-4.1037,-0.1051,0.0582,-0.2698,-0.2394,9.3733,0.8978,0.0929,0.1533,-0.1242
-7.1323,6.0118,-4.0247,-0.1207,0.0853,-0.2721,-0.7901,9.1387,1.0606,0.1396,0.2874,-0.0886
-6.7660,5.9041,-4.4676,-0.0176,0.1244,-0.2671,0.1628,9.5792,0.3376,0.2619,0.0741,0.0360
-6.9192,5.8921,-4.6639,-0.1340,0.1327,-0.3051,-0.1963,9.4763,0.3639,0.1581,0.3527,-0.0521
-7.0390,5.7197,-4.6160,-0.1712,0.1817,-0.3323,-0.2370,9.5624,0.0359,0.1747,0.3259,-0.0396
-7.2401,5.4468,-4.6112,-0.2978,0.0945,-0.3311,-0.1939,9.6103,-0.2059,0.0512,0.3312,-0.1095
-7.4939,5.3486,-4.3910,-0.3452,0.1130,-0.3399,-0.7183,9.4810,-0.2059,0.0048,0.4798,-0.1808
-7.3526,5.1906,-4.5035,-0.1727,-0.0163,-0.2293,-0.6273,9.4930,-0.4190,-0.0195,0.1216,-0.1479
-7.5944,5.1451,-4.4652,-0.2314,0.0107,-0.2318,-0.7039,9.6199,-0.4214,-0.0436,0.2685,-0.1623
